mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.03
8,1000,0.98,8.14
16,1000,0.99,16.23
32,1000,1.00,32.02
64,1000,1.16,55.03
128,1000,1.21,105.77
256,1000,1.43,179.14
512,1000,1.50,340.21
1024,1000,1.65,619.88
2048,1000,2.32,884.30
4096,1000,3.23,1268.57
8192,1000,4.54,1802.56
16384,1000,6.46,2534.90
32768,1000,8.58,3818.41
65536,640,12.49,5246.30
131072,320,18.75,6989.21
262144,160,32.70,8017.25
524288,80,54.05,9699.45
1048576,40,97.16,10791.90
2097152,20,182.29,11504.52
4194304,10,352.73,11891.08
8388608,5,693.17,12101.82
16777216,2,1379.95,12157.83
33554432,1,2754.68,12180.88
67108864,1,5496.64,12209.08
134217728,1,11012.08,12188.23
268435456,1,22051.07,12173.35
536870912,1,44512.15,12061.22
