mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.51
2,1000,0.40,5.02
4,1000,0.40,10.11
8,1000,0.40,20.18
16,1000,0.40,40.22
32,1000,0.56,56.93
64,1000,0.55,115.75
128,1000,0.89,144.20
256,1000,0.93,274.57
512,1000,1.16,440.91
1024,1000,1.30,787.41
2048,1000,2.10,976.45
4096,1000,3.04,1345.71
8192,1000,4.91,1668.45
16384,1000,8.36,1960.56
32768,1000,14.60,2244.90
65536,640,26.67,2457.70
131072,320,50.66,2587.35
262144,160,15.23,17217.38
524288,80,26.98,19431.41
1048576,40,54.63,19195.20
2097152,20,144.37,14526.10
4194304,10,289.22,14502.24
8388608,5,623.18,13460.93
16777216,2,2118.94,7917.73
33554432,1,6330.56,5300.39
67108864,1,12527.29,5357.01
134217728,1,25070.26,5353.66
268435456,1,52341.02,5128.59
536870912,1,97970.64,5479.92
