mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.77,0.0
1,1000,4.82,0.21
2,1000,4.81,0.42
4,1000,4.8,0.83
8,1000,4.81,1.66
16,1000,4.81,3.33
32,1000,4.8,6.66
64,1000,4.82,13.27
128,1000,4.84,26.45
256,1000,4.86,52.67
512,1000,6.46,79.32
1024,1000,6.59,155.5
2048,1000,6.86,298.58
4096,1000,7.54,543.35
8192,1000,8.35,980.96
16384,1000,14.87,1101.73
32768,1000,22.15,1479.4
65536,640,39.75,1648.44
131072,320,74.34,1763.13
262144,160,53.69,4882.79
524288,80,88.4,5931.05
1048576,40,151.23,6933.55
2097152,20,280.21,7485.13
4194304,10,622.47,6742.01
8388608,5,1458.29,5752.44
16777216,2,3167.4,5296.86
33554432,1,6456.8,5196.8
67108864,1,12914.66,5196.37
134217728,1,25645.12,5233.69
268435456,1,51159.45,5247.1
536870912,1,102443.14,5240.7
