mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.93
2,1000,0.25,7.90
4,1000,0.25,15.99
8,1000,0.25,31.89
16,1000,0.25,64.03
32,1000,0.29,109.11
64,1000,0.29,221.14
128,1000,0.40,323.90
256,1000,0.45,566.22
512,1000,0.49,1047.06
1024,1000,0.61,1687.22
2048,1000,0.83,2474.43
4096,1000,1.21,3398.76
8192,1000,1.97,4148.79
16384,1000,3.57,4590.76
32768,1000,4.47,7336.89
65536,640,6.01,10902.01
131072,320,8.34,15719.30
262144,160,12.43,21093.31
524288,80,23.88,21959.57
1048576,40,51.41,20397.90
2097152,20,134.12,15636.10
4194304,10,304.20,13788.01
8388608,5,903.66,9282.92
16777216,2,2382.79,7040.98
33554432,1,5373.90,6243.96
67108864,1,10870.00,6173.77
134217728,1,21618.77,6208.39
268435456,1,43204.61,6213.12
536870912,1,84869.54,6325.84
