mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.51,0.0
1,1000,9.48,0.1
2,1000,9.35,0.22
4,1000,9.37,0.43
8,1000,9.1,0.89
16,1000,9.1,1.77
32,1000,9.06,3.55
64,1000,8.82,7.3
128,1000,8.88,14.48
256,1000,8.94,28.79
512,1000,11.56,44.47
1024,1000,12.0,85.74
2048,1000,13.55,151.26
4096,1000,14.74,277.98
8192,1000,17.17,477.55
16384,1000,27.54,595.43
32768,1000,39.57,828.81
65536,640,68.3,960.44
131072,320,127.97,1025.07
262144,160,164.67,1620.84
524288,80,250.63,2126.58
1048576,40,425.4,2510.24
2097152,20,773.97,2761.8
4194304,10,1517.92,2797.23
8388608,5,3057.05,2787.3
16777216,2,6335.52,2686.5
33554432,1,12717.94,2675.8
67108864,1,25344.68,2680.98
134217728,1,50322.89,2701.28
268435456,1,99654.19,2725.99
536870912,1,202278.15,2687.89
