mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.32,0.0
1,1000,1.32,0.76
2,1000,1.33,1.5
4,1000,1.33,3.01
8,1000,1.31,6.1
16,1000,1.31,12.24
32,1000,1.33,24.04
64,1000,1.47,43.64
128,1000,1.52,84.62
256,1000,1.81,141.61
512,1000,1.87,274.74
1024,1000,2.05,500.75
2048,1000,2.71,757.67
4096,1000,3.48,1182.47
8192,1000,4.3,1910.01
16384,1000,5.99,2737.64
32768,1000,10.51,3117.99
65536,640,13.19,4969.54
131072,320,22.39,5857.15
262144,160,33.61,7802.17
524288,80,56.13,9342.99
1048576,40,99.53,10540.28
2097152,20,185.17,11325.46
4194304,10,353.89,11851.89
8388608,5,695.28,12065.16
16777216,2,1384.01,12122.26
33554432,1,2770.74,12110.37
67108864,1,5508.81,12182.1
134217728,1,11034.51,12163.46
268435456,1,22016.32,12192.61
536870912,1,44112.64,12170.48
