mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.32,0.00
1,1000,8.28,0.12
2,1000,8.32,0.24
4,1000,8.31,0.48
8,1000,8.30,0.96
16,1000,8.29,1.93
32,1000,8.31,3.85
64,1000,8.29,7.72
128,1000,8.36,15.31
256,1000,8.45,30.29
512,1000,11.02,46.47
1024,1000,11.41,89.78
2048,1000,13.34,153.55
4096,1000,14.71,278.54
8192,1000,16.88,485.18
16384,1000,28.01,584.99
32768,1000,39.55,828.42
65536,640,68.97,950.23
131072,320,129.05,1015.66
262144,160,161.72,1621.00
524288,80,253.58,2067.57
1048576,40,424.23,2471.71
2097152,20,768.26,2729.75
4194304,10,1436.11,2920.61
8388608,5,2916.68,2876.08
16777216,2,6022.27,2785.86
33554432,1,12015.89,2792.51
67108864,1,24007.69,2795.31
134217728,1,47855.33,2804.66
268435456,1,94997.88,2825.70
536870912,1,192298.81,2791.86
