mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.44,0.00
1,1000,5.56,0.18
2,1000,5.57,0.36
4,1000,5.55,0.72
8,1000,5.56,1.44
16,1000,5.59,2.86
32,1000,5.56,5.76
64,1000,5.59,11.46
128,1000,5.65,22.63
256,1000,5.69,45.00
512,1000,5.74,89.25
1024,1000,6.39,160.20
2048,1000,6.16,332.49
4096,1000,7.20,568.66
8192,1000,7.62,1074.57
16384,1000,9.96,1645.58
32768,1000,16.06,2040.54
65536,640,31.07,2108.98
131072,320,43.92,2984.19
262144,160,63.51,4127.90
524288,80,98.35,5330.97
1048576,40,166.53,6296.75
2097152,20,315.04,6656.69
4194304,10,677.06,6194.86
8388608,5,1622.22,5171.06
16777216,2,3423.06,4901.23
33554432,1,6899.39,4863.39
67108864,1,13398.04,5008.86
134217728,1,26769.43,5013.84
268435456,1,51582.32,5204.02
536870912,1,102903.58,5217.22
