mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.98,2.03
4,1000,0.98,4.07
8,1000,0.99,8.12
16,1000,0.99,16.24
32,1000,1.00,32.00
64,1000,1.16,55.33
128,1000,1.20,106.86
256,1000,1.42,180.47
512,1000,1.50,342.22
1024,1000,1.66,618.07
2048,1000,2.31,886.04
4096,1000,3.18,1286.24
8192,1000,4.53,1806.96
16384,1000,6.43,2549.12
32768,1000,8.58,3817.84
65536,640,12.41,5281.86
131072,320,18.74,6995.71
262144,160,32.69,8018.12
524288,80,54.18,9677.65
1048576,40,96.97,10813.02
2097152,20,182.12,11515.38
4194304,10,352.31,11905.22
8388608,5,692.61,12111.56
16777216,2,1380.62,12151.93
33554432,1,2756.40,12173.26
67108864,1,5496.71,12208.92
134217728,1,11016.07,12183.81
268435456,1,22053.82,12171.83
536870912,1,44503.36,12063.60
