mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.63,0.0
1,1000,5.76,0.18
2,1000,5.79,0.35
4,1000,5.79,0.69
8,1000,5.77,1.39
16,1000,5.71,2.82
32,1000,5.77,5.57
64,1000,5.89,10.92
128,1000,5.87,21.96
256,1000,5.82,44.3
512,1000,5.92,87.05
1024,1000,6.61,155.82
2048,1000,6.32,325.53
4096,1000,7.34,560.62
8192,1000,7.79,1056.19
16384,1000,10.33,1595.37
32768,1000,16.27,2023.73
65536,640,34.64,1900.79
131072,320,51.21,2571.22
262144,160,72.82,3618.37
524288,80,116.04,4532.28
1048576,40,192.62,5460.01
2097152,20,376.65,5579.54
4194304,10,781.78,5374.6
8388608,5,1812.43,4633.24
16777216,2,3736.09,4495.55
33554432,1,7423.32,4527.1
67108864,1,14857.21,4523.12
134217728,1,29159.9,4609.42
268435456,1,58360.63,4605.91
536870912,1,114363.11,4699.98
