mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.84,0.0
1,1000,15.84,0.06
2,1000,15.91,0.13
4,1000,15.86,0.25
8,1000,15.84,0.51
16,1000,15.89,1.01
32,1000,15.87,2.02
64,1000,15.97,4.01
128,1000,16.43,7.79
256,1000,16.4,15.62
512,1000,16.76,30.57
1024,1000,17.19,59.61
2048,1000,38.93,52.62
4096,1000,39.43,103.88
8192,1000,40.22,203.72
16384,1000,42.42,386.34
32768,1000,51.72,635.82
65536,640,82.18,797.98
131072,320,140.26,937.58
262144,160,211.88,1239.63
524288,80,331.13,1586.85
1048576,40,550.16,1909.99
2097152,20,993.96,2115.73
4194304,10,2079.54,2021.91
8388608,5,4202.46,2001.94
16777216,2,8340.4,2013.84
33554432,1,16820.6,2000.27
67108864,1,32297.27,2079.25
134217728,1,63856.03,2102.84
268435456,1,127347.86,2109.58
536870912,1,255471.05,2103.44
