mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 

lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.39,0.00
1,1000,0.40,2.52
2,1000,0.40,5.05
4,1000,0.39,10.14
8,1000,0.40,20.22
16,1000,0.40,40.42
32,1000,0.56,57.50
64,1000,0.55,116.68
128,1000,0.86,148.35
256,1000,0.92,277.99
512,1000,1.12,456.68
1024,1000,1.29,793.86
2048,1000,2.09,978.63
4096,1000,2.97,1378.97
8192,1000,4.78,1713.28
16384,1000,7.44,2201.40
32768,1000,12.90,2539.22
65536,640,24.47,2678.33
131072,320,44.89,2919.86
262144,160,13.09,20024.69
524288,80,23.11,22686.49
1048576,40,48.90,21444.77
2097152,20,136.86,15322.91
4194304,10,288.04,14561.52
8388608,5,626.09,13398.43
16777216,2,2111.21,7946.72
33554432,1,5951.49,5637.99
67108864,1,12546.45,5348.83
134217728,1,24969.22,5375.33
268435456,1,52388.24,5123.96
536870912,1,97758.52,5491.81
