mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.21,0.00
1,1000,1.21,0.83
2,1000,1.21,1.66
4,1000,1.21,3.30
8,1000,1.21,6.62
16,1000,1.21,13.22
32,1000,1.24,25.76
64,1000,1.48,43.23
128,1000,1.53,83.58
256,1000,1.81,141.68
512,1000,1.89,271.15
1024,1000,2.08,491.40
2048,1000,2.82,725.10
4096,1000,3.64,1125.83
8192,1000,4.68,1748.59
16384,1000,6.39,2563.08
32768,1000,9.97,3288.19
65536,640,12.91,5074.98
131072,320,22.13,5922.09
262144,160,32.53,8057.32
524288,80,55.96,9369.30
1048576,40,98.58,10636.94
2097152,20,183.45,11431.49
4194304,10,354.27,11839.22
8388608,5,697.89,12019.99
16777216,2,1385.51,12109.08
33554432,1,2755.48,12177.34
67108864,1,5511.61,12175.91
134217728,1,10972.74,12231.93
268435456,1,22009.64,12196.27
536870912,1,44096.17,12175.00
