mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.39,1.44
4,1000,1.38,2.89
8,1000,1.36,5.88
16,1000,1.38,11.60
32,1000,1.39,22.96
64,1000,1.58,40.40
128,1000,1.64,77.88
256,1000,1.94,132.00
512,1000,1.96,261.83
1024,1000,2.18,469.62
2048,1000,2.87,713.91
4096,1000,3.61,1136.04
8192,1000,4.65,1760.75
16384,1000,6.38,2569.89
32768,1000,10.70,3061.55
65536,640,13.39,4892.76
131072,320,22.08,5936.40
262144,160,33.47,7831.14
524288,80,55.67,9417.89
1048576,40,98.56,10638.57
2097152,20,184.23,11383.51
4194304,10,353.63,11860.65
8388608,5,695.02,12069.66
16777216,2,1378.10,12174.13
33554432,1,2785.36,12046.70
67108864,1,5512.96,12172.92
134217728,1,11019.38,12180.15
268435456,1,21991.07,12206.57
536870912,1,44082.51,12178.77
