mpirun  --map-by node --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
#lambda[usec] (computed) -> -3.6, bandwidth[Mbytes/sec] (computed) -> 12071.83
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.98,0.0,-3.6,-0.0
1,1000,0.98,1.02,-3.6,-0.28
2,1000,0.99,2.02,-3.6,-0.55
4,1000,0.99,4.04,-3.6,-1.11
8,1000,0.98,8.13,-3.6,-2.22
16,1000,0.99,16.15,-3.6,-4.44
32,1000,1.01,31.72,-3.6,-8.88
64,1000,1.14,56.21,-3.6,-17.78
128,1000,1.18,108.3,-3.59,-35.62
256,1000,1.42,180.67,-3.58,-71.44
512,1000,1.48,344.72,-3.56,-143.74
1024,1000,1.65,621.89,-3.52,-290.94
2048,1000,2.3,890.62,-3.43,-596.24
4096,1000,3.2,1282.42,-3.27,-1254.45
8192,1000,4.46,1834.89,-2.93,-2799.88
16384,1000,6.26,2615.19,-2.25,-7290.93
32768,1000,8.38,3909.08,-0.89,-36823.89
65536,640,12.25,5351.75,1.82,35914.44
131072,320,18.47,7097.16,7.25,18068.78
262144,160,31.94,8205.83,18.11,14473.01
524288,80,54.94,9548.43,39.83,13163.24
1048576,40,97.39,10767.33,83.26,12593.4
2097152,20,183.73,11415.75,170.13,12326.59
4194304,10,352.56,11896.94,343.87,12197.38
8388608,5,693.93,12088.69,691.34,12133.79
16777216,2,1382.68,12133.88,1386.29,12102.24
33554432,1,2760.37,12155.77,2776.19,12086.53
67108864,1,5523.68,12149.34,5555.97,12078.68
134217728,1,11035.97,12161.85,11115.55,12074.77
268435456,1,22080.05,12157.38,22234.71,12072.81
536870912,1,44575.18,12044.17,44473.03,12071.83
