mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.04
8,1000,0.98,8.15
16,1000,0.99,16.22
32,1000,1.00,32.02
64,1000,1.15,55.84
128,1000,1.19,107.84
256,1000,1.42,180.80
512,1000,1.50,342.37
1024,1000,1.64,624.77
2048,1000,2.31,885.97
4096,1000,3.22,1270.16
8192,1000,4.53,1809.75
16384,1000,6.42,2552.00
32768,1000,8.55,3830.99
65536,640,12.47,5253.52
131072,320,18.81,6967.88
262144,160,32.70,8017.15
524288,80,54.35,9646.04
1048576,40,98.15,10683.78
2097152,20,182.22,11508.95
4194304,10,353.19,11875.37
8388608,5,693.00,12104.81
16777216,2,1381.78,12141.77
33554432,1,2756.83,12171.37
67108864,1,5501.87,12197.46
134217728,1,11004.51,12196.62
268435456,1,22050.79,12173.50
536870912,1,44513.51,12060.85
