mpirun  --map-by node --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.98,2.03
4,1000,0.98,4.06
8,1000,0.98,8.17
16,1000,0.98,16.28
32,1000,1.00,31.92
64,1000,1.13,56.60
128,1000,1.17,109.01
256,1000,1.41,182.08
512,1000,1.48,345.51
1024,1000,1.64,623.83
2048,1000,2.30,890.67
4096,1000,3.25,1259.95
8192,1000,4.54,1805.26
16384,1000,6.40,2559.15
32768,1000,8.51,3850.13
65536,640,12.32,5319.06
131072,320,18.66,7023.20
262144,160,31.93,8209.75
524288,80,54.41,9636.35
1048576,40,97.22,10785.68
2097152,20,186.60,11238.92
4194304,10,352.74,11890.57
8388608,5,694.63,12076.29
16777216,2,1382.52,12135.23
33554432,1,2757.85,12166.88
67108864,1,5526.49,12143.12
134217728,1,11030.11,12168.31
268435456,1,22078.71,12158.11
536870912,1,44573.73,12044.56
