mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.23,0.00
1,1000,16.15,0.06
2,1000,16.19,0.12
4,1000,16.21,0.25
8,1000,16.21,0.49
16,1000,16.16,0.99
32,1000,16.17,1.98
64,1000,16.27,3.93
128,1000,16.66,7.68
256,1000,16.80,15.23
512,1000,17.10,29.93
1024,1000,17.52,58.46
2048,1000,38.83,52.74
4096,1000,39.45,103.82
8192,1000,40.33,203.14
16384,1000,42.03,389.86
32768,1000,48.96,669.31
65536,640,63.22,1036.55
131072,320,114.61,1143.67
262144,160,160.24,1635.90
524288,80,233.23,2247.97
1048576,40,374.35,2801.07
2097152,20,677.39,3095.91
4194304,10,1447.99,2896.63
8388608,5,3304.71,2538.38
16777216,2,6792.10,2470.11
33554432,1,13101.89,2561.04
67108864,1,25489.76,2632.78
134217728,1,52616.93,2550.85
268435456,1,104252.16,2574.87
536870912,1,207375.92,2588.88
