mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.22,0.00
1,1000,1.21,0.82
2,1000,1.21,1.65
4,1000,1.21,3.30
8,1000,1.21,6.61
16,1000,1.21,13.18
32,1000,1.25,25.66
64,1000,1.49,43.07
128,1000,1.53,83.45
256,1000,2.80,91.46
512,1000,1.89,271.44
1024,1000,2.08,493.46
2048,1000,2.78,736.13
4096,1000,3.64,1124.91
8192,1000,4.72,1734.60
16384,1000,6.39,2565.30
32768,1000,9.73,3367.24
65536,640,12.99,5046.73
131072,320,21.18,6188.24
262144,160,32.63,8032.96
524288,80,55.23,9492.62
1048576,40,97.88,10712.98
2097152,20,185.54,11303.19
4194304,10,354.34,11836.90
8388608,5,697.62,12024.65
16777216,2,1385.67,12107.69
33554432,1,2759.69,12158.75
67108864,1,5493.32,12216.46
134217728,1,10971.84,12232.93
268435456,1,21937.94,12236.13
536870912,1,44219.66,12141.00
