mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.37,0.00
1,1000,5.47,0.18
2,1000,5.48,0.36
4,1000,5.45,0.73
8,1000,5.46,1.46
16,1000,5.45,2.93
32,1000,5.46,5.86
64,1000,5.48,11.69
128,1000,5.55,23.05
256,1000,5.60,45.68
512,1000,5.67,90.23
1024,1000,6.34,161.57
2048,1000,6.10,335.65
4096,1000,7.16,571.97
8192,1000,7.51,1090.25
16384,1000,9.89,1656.12
32768,1000,16.02,2045.88
65536,640,30.94,2118.06
131072,320,43.58,3007.63
262144,160,62.62,4186.04
524288,80,97.80,5360.63
1048576,40,166.58,6294.81
2097152,20,314.04,6677.94
4194304,10,675.19,6212.01
8388608,5,1625.22,5161.52
16777216,2,3430.97,4889.94
33554432,1,6899.94,4863.01
67108864,1,13407.94,5005.16
134217728,1,26756.62,5016.24
268435456,1,53340.01,5032.54
536870912,1,102985.74,5213.06
