mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.73,0.00
1,1000,5.76,0.17
2,1000,5.77,0.35
4,1000,5.85,0.68
8,1000,5.52,1.45
16,1000,6.07,2.64
32,1000,6.11,5.24
64,1000,5.81,11.02
128,1000,6.13,20.88
256,1000,6.36,40.25
512,1000,7.93,64.54
1024,1000,8.00,127.95
2048,1000,8.25,248.35
4096,1000,9.08,450.94
8192,1000,10.13,809.05
16384,1000,17.36,943.61
32768,1000,25.65,1277.40
65536,640,44.88,1460.33
131072,320,83.06,1578.13
262144,160,61.73,4246.53
524288,80,104.11,5036.05
1048576,40,180.56,5807.35
2097152,20,365.60,5736.26
4194304,10,810.42,5175.47
8388608,5,1809.05,4637.01
16777216,2,3697.83,4537.04
33554432,1,7428.97,4516.70
67108864,1,14816.90,4529.21
134217728,1,28934.35,4638.70
268435456,1,57433.96,4673.81
536870912,1,117083.36,4585.37
