mpirun  --map-by node --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.0
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.04
8,1000,0.98,8.13
16,1000,0.99,16.15
32,1000,1.01,31.72
64,1000,1.14,56.21
128,1000,1.18,108.3
256,1000,1.42,180.67
512,1000,1.48,344.72
1024,1000,1.65,621.89
2048,1000,2.3,890.62
4096,1000,3.2,1282.42
8192,1000,4.46,1834.89
16384,1000,6.26,2615.19
32768,1000,8.38,3909.08
65536,640,12.25,5351.75
131072,320,18.47,7097.16
262144,160,31.94,8205.83
524288,80,54.94,9548.43
1048576,40,97.39,10767.33
2097152,20,183.73,11415.75
4194304,10,352.56,11896.94
8388608,5,693.93,12088.69
16777216,2,1382.68,12133.88
33554432,1,2760.37,12155.77
67108864,1,5523.68,12149.34
134217728,1,11035.97,12161.85
268435456,1,22080.05,12157.38
536870912,1,44575.18,12044.17
