mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.25,0.0
1,1000,16.28,0.06
2,1000,16.29,0.12
4,1000,16.28,0.25
8,1000,16.29,0.49
16,1000,16.33,0.98
32,1000,16.35,1.96
64,1000,16.54,3.87
128,1000,17.05,7.51
256,1000,17.04,15.03
512,1000,17.36,29.5
1024,1000,17.85,57.37
2048,1000,39.21,52.23
4096,1000,39.68,103.24
8192,1000,40.57,201.97
16384,1000,42.38,386.68
32768,1000,50.72,646.58
65536,640,63.16,1037.81
131072,320,118.22,1109.57
262144,160,163.12,1614.04
524288,80,241.69,2187.24
1048576,40,389.44,2725.43
2097152,20,715.31,2966.4
4194304,10,1505.36,2819.55
8388608,5,3345.6,2526.99
16777216,2,6830.45,2474.07
33554432,1,13546.32,2496.54
67108864,1,26490.9,2558.65
134217728,1,52745.16,2572.25
268435456,1,103319.86,2622.92
536870912,1,206999.81,2628.22
