mpirun  --map-by node --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.0
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.05
8,1000,0.98,8.14
16,1000,0.99,16.2
32,1000,1.01,31.79
64,1000,1.14,56.32
128,1000,1.18,108.55
256,1000,1.41,181.49
512,1000,1.48,345.16
1024,1000,1.64,623.59
2048,1000,2.31,887.88
4096,1000,3.2,1278.83
8192,1000,4.48,1827.63
16384,1000,6.37,2574.74
32768,1000,8.54,3838.14
65536,640,12.32,5319.38
131072,320,18.58,7054.28
262144,160,31.99,8195.6
524288,80,54.85,9563.18
1048576,40,97.54,10750.53
2097152,20,183.11,11453.89
4194304,10,353.2,11875.31
8388608,5,692.88,12106.93
16777216,2,1381.98,12139.96
33554432,1,2760.47,12155.37
67108864,1,5527.46,12140.99
134217728,1,11035.36,12162.52
268435456,1,22078.64,12158.15
536870912,1,44568.9,12045.87
