mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.46,0.0
1,1000,5.54,0.18
2,1000,5.55,0.36
4,1000,5.54,0.72
8,1000,5.54,1.45
16,1000,5.54,2.89
32,1000,5.54,5.78
64,1000,5.56,11.52
128,1000,5.63,22.72
256,1000,5.67,45.11
512,1000,5.72,89.51
1024,1000,6.36,161.15
2048,1000,6.16,332.31
4096,1000,7.19,569.96
8192,1000,7.59,1079.53
16384,1000,9.94,1647.5
32768,1000,16.05,2041.16
65536,640,30.95,2117.26
131072,320,43.87,2987.46
262144,160,63.05,4157.58
524288,80,98.18,5340.06
1048576,40,166.98,6279.71
2097152,20,314.59,6666.37
4194304,10,674.9,6214.74
8388608,5,1625.56,5160.5
16777216,2,3426.63,4896.13
33554432,1,6894.45,4866.89
67108864,1,13472.26,4981.76
134217728,1,26768.59,5015.71
268435456,1,53011.78,5066.78
536870912,1,105113.06,5111.36
