mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.0
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.05
8,1000,0.98,8.13
16,1000,0.99,16.21
32,1000,1.0,32.03
64,1000,1.16,55.21
128,1000,1.2,106.69
256,1000,1.42,180.09
512,1000,1.5,341.54
1024,1000,1.65,619.6
2048,1000,2.32,882.77
4096,1000,3.2,1278.97
8192,1000,4.51,1816.11
16384,1000,6.4,2559.79
32768,1000,8.55,3830.85
65536,640,12.44,5265.95
131072,320,18.74,6995.36
262144,160,32.68,8021.38
524288,80,54.62,9600.51
1048576,40,97.71,10731.88
2097152,20,182.2,11510.44
4194304,10,352.9,11885.16
8388608,5,693.23,12100.79
16777216,2,1380.46,12153.38
33554432,1,2758.12,12165.69
67108864,1,5498.82,12204.23
134217728,1,11012.39,12187.89
268435456,1,22053.17,12172.19
536870912,1,44518.89,12059.39
