mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.87,0.00
1,1000,7.88,0.13
2,1000,7.87,0.25
4,1000,7.87,0.51
8,1000,7.87,1.02
16,1000,7.85,2.04
32,1000,7.87,4.06
64,1000,8.14,7.86
128,1000,8.16,15.68
256,1000,8.17,31.34
512,1000,9.93,51.58
1024,1000,10.17,100.73
2048,1000,10.57,193.84
4096,1000,11.95,342.63
8192,1000,13.09,625.85
16384,1000,23.01,712.07
32768,1000,35.19,931.27
65536,640,55.11,1189.19
131072,320,101.99,1285.11
262144,160,111.63,2348.36
524288,80,172.15,3045.50
1048576,40,306.34,3422.97
2097152,20,601.20,3488.28
4194304,10,1207.60,3473.26
8388608,5,2440.10,3437.81
16777216,2,5030.59,3335.04
33554432,1,10332.88,3247.34
67108864,1,20411.30,3287.83
134217728,1,40858.54,3284.94
268435456,1,81512.77,3293.17
536870912,1,164447.17,3264.70
